time,lato,entry,stop,rischio,spread_broker
2026-07-07T07:09:47Z,short,4140.0,4150.4,10.402,0.23
2026-07-07T16:57:51Z,long,4158.42,4143.77,14.646,0.23
2026-07-08T15:46:27Z,short,4079.74,4105.19,25.449,0.23
2026-07-08T19:44:49Z,short,4055.35,4073.79,18.444,0.23
2026-07-09T08:01:28Z,short,4071.09,4082.32,11.226,0.23
2026-07-09T13:52:17Z,long,4098.83,4086.23,12.602,0.23
2026-07-10T09:00:04Z,short,4118.42,4124.47,6.051,0.23
2026-07-10T13:23:09Z,short,4109.45,4119.21,9.756,0.23
2026-07-13T03:09:31Z,short,4090.12,4104.25,14.129,0.24
2026-07-13T08:07:27Z,short,4063.87,4071.15,7.284,0.23
2026-07-13T21:53:53Z,short,4004.64,4016.56,11.918,0.23
2026-07-15T08:42:06Z,short,4033.9,4039.97,6.074,0.5
2026-07-15T18:20:36Z,long,4041.69,4021.88,19.808,0.23
2026-07-15T22:20:19Z,long,4053.92,4039.97,13.953,0.23
2026-07-17T11:28:18Z,long,3988.57,3976.99,11.577,0.23
2026-07-17T16:38:32Z,short,3989.39,4005.36,15.969,0.23
2026-07-17T22:23:32Z,long,4004.54,3993.19,11.345,0.23
2026-07-22T09:28:12Z,long,4114.65,4097.38,17.274,0.23
2026-07-22T19:35:29Z,long,4146.32,4133.83,12.493,0.23
2026-07-24T09:12:35Z,short,4029.66,4034.73,5.071,0.23
2026-07-24T14:55:16Z,long,4052.77,4045.51,7.26,0.23
