id,signal_time_utc,fill_time_utc,exit_time_utc,min_signal_to_fill,direction,signal_close,middle_entry,impulse,sl_dist,tp_dist,sl_pips,tp_pips,entry_planned,entry_actual,spread_pips_fill,volume_units,raw_volume,theo_risk,theo_risk_pct,real_risk,real_risk_pct,rounding_risk_delta,gross_profit,commission,swap,net_profit,pips,R,close_reason
3,2026-07-07 06:50:00,2026-07-07 07:09:47,2026-07-07 07:55:13,19.8,SHORT,4126.26000,4140.00295,15.60295,10.40197,12.48236,1040.2,1248.2,4140.00000,4140.00000,23.0,1.13,1.14,1036.39,0.99,1027.56,0.98,8.83,1232.96,-6.78,0.00,1226.18,1248.0,1.193,TakeProfit
5,2026-07-07 16:50:00,2026-07-07 16:57:51,2026-07-07 17:42:02,7.8,LONG,4173.33000,4158.42165,21.96835,14.64557,17.57468,1464.6,1757.5,4158.42000,4158.42000,23.0,0.81,0.82,1045.53,1.01,1037.27,1.00,8.26,-1038.09,-4.86,0.00,-1042.95,-1465.0,-1.005,StopLoss
8,2026-07-08 13:00:00,2026-07-08 15:46:27,2026-07-08 17:37:02,166.4,SHORT,4043.26000,4079.74420,38.17420,25.44947,30.53936,2544.9,3053.9,4079.74000,4079.74000,23.0,0.46,0.47,1047.49,0.99,1026.44,0.97,21.05,1231.71,-2.76,0.00,1228.95,3054.0,1.197,TakeProfit
10,2026-07-08 18:20:00,2026-07-08 19:44:49,2026-07-08 20:28:36,84.8,SHORT,4031.79000,4055.34639,27.66639,18.44426,22.13311,1844.4,2213.3,4055.35000,4055.35000,23.0,0.65,0.66,1059.81,1.01,1050.49,1.00,9.31,-1049.10,-3.90,0.00,-1053.00,-1844.0,-1.002,StopLoss
14,2026-07-09 06:20:00,2026-07-09 08:01:28,2026-07-09 08:51:21,101.5,SHORT,4055.75000,4071.08835,16.83835,11.22557,13.47068,1122.6,1347.1,4071.09000,4071.09000,23.0,1.06,1.07,1049.31,1.01,1041.21,1.00,8.11,-1041.19,-6.36,0.00,-1047.55,-1123.0,-1.006,StopLoss
21,2026-07-09 11:30:00,2026-07-09 13:52:17,2026-07-09 15:08:39,142.3,LONG,4114.78000,4098.82649,18.90351,12.60234,15.12281,1260.2,1512.3,4098.83000,4098.83000,23.0,0.94,0.94,1038.90,0.99,1036.94,0.99,1.96,1242.98,-5.64,0.00,1237.34,1512.0,1.193,TakeProfit
22,2026-07-10 08:40:00,2026-07-10 09:00:04,2026-07-10 10:00:22,20.1,SHORT,4109.36000,4118.41586,9.07586,6.05057,7.26069,605.1,726.1,4118.42000,4118.42000,23.0,1.98,1.99,1051.33,0.99,1047.19,0.98,4.15,1256.32,-11.88,0.00,1244.44,726.0,1.188,TakeProfit
23,2026-07-10 11:50:00,2026-07-10 13:23:09,2026-07-10 14:38:18,93.2,SHORT,4095.77000,4109.45382,14.63382,9.75588,11.70706,975.6,1170.7,4109.45000,4109.45000,23.0,1.24,1.25,1063.90,0.99,1058.09,0.98,5.80,1270.58,-7.44,0.00,1263.14,1171.0,1.194,TakeProfit
3,2026-07-13 02:30:50,2026-07-13 03:09:31,2026-07-13 03:31:28,38.7,SHORT,4074.72000,4090.12308,21.19308,14.12872,16.95446,1412.9,1695.4,4090.12000,4090.12000,24.0,0.87,0.87,1078.62,0.99,1077.92,0.99,0.70,1293.20,-5.22,0.00,1287.98,1695.0,1.195,TakeProfit
6,2026-07-13 07:50:00,2026-07-13 08:07:27,2026-07-13 08:09:27,17.4,SHORT,4053.22000,4063.86626,10.92626,7.28417,8.74101,728.4,874.1,4063.87000,4063.87000,23.0,1.70,1.71,1091.55,1.01,1085.64,1.00,5.92,-1085.00,-10.20,0.00,-1095.20,-728.0,-1.009,StopLoss
12,2026-07-13 21:20:00,2026-07-13 21:53:53,2026-07-14 03:07:23,33.9,SHORT,3988.34000,4004.63748,17.87748,11.91832,14.30198,1191.8,1430.2,4004.64000,4004.64000,23.0,1.03,1.03,1080.70,0.99,1077.93,0.99,2.78,1293.92,-6.18,29.39,1317.13,1430.0,1.222,TakeProfit
18,2026-07-15 08:30:00,2026-07-15 08:42:06,2026-07-15 09:15:10,12.1,SHORT,4025.07000,4033.90149,9.11149,6.07432,7.28919,607.4,728.9,4033.90000,4033.90000,50.0,2.05,2.06,1093.94,0.99,1088.46,0.98,5.47,1306.26,-12.30,0.00,1293.96,729.0,1.189,TakeProfit
2,2026-07-15 16:00:00,2026-07-15 18:20:36,2026-07-15 20:46:27,140.6,LONG,4067.78000,4041.68858,29.71142,19.80762,23.76914,1980.8,2376.9,4041.69000,4041.69000,23.0,0.63,0.64,1107.00,0.99,1091.16,0.97,15.84,1305.57,-3.78,0.00,1301.79,2377.0,1.193,TakeProfit
