time,lato,entry,stop,rischio
2020-02-05T14:24:00Z,short,1554.56,1556.6,2.04
2020-03-04T14:06:00Z,long,1641.64,1636.63,5.01
2020-03-06T14:48:00Z,long,1681.66,1677.16,4.5
2020-04-08T11:54:00Z,long,1648.85,1641.7,7.148
2020-04-08T12:36:00Z,long,1648.8,1642.73,6.07
2020-04-14T07:42:00Z,long,1716.15,1709.14,7.01
2020-04-23T07:30:00Z,long,1714.22,1709.9,4.32
2020-05-15T11:12:00Z,long,1735.21,1730.23,4.983
2020-05-15T12:12:00Z,long,1734.87,1730.31,4.557
2020-06-22T12:30:00Z,long,1751.72,1744.96,6.767
2020-06-29T13:30:00Z,long,1771.2,1767.41,3.797
2020-06-29T14:42:00Z,long,1771.55,1768.65,2.9
2020-07-23T12:24:00Z,long,1877.67,1872.25,5.43
2020-07-23T13:54:00Z,long,1878.34,1869.42,8.91
2020-07-24T10:42:00Z,long,1890.36,1886.81,3.547
2020-07-27T13:12:00Z,long,1936.16,1930.64,5.513
2020-07-27T17:42:00Z,long,1935.81,1934.02,1.79
2020-07-31T15:00:00Z,long,1972.8,1963.61,9.19
2020-07-31T16:36:00Z,long,1970.59,1965.57,5.02
2020-07-31T17:36:00Z,long,1971.14,1966.24,4.9
2020-08-03T08:42:00Z,long,1974.12,1971.34,2.783
2020-08-03T09:30:00Z,long,1974.03,1972.06,1.97
2020-08-05T17:12:00Z,long,2036.62,2028.31,8.31
2020-08-05T17:42:00Z,long,2036.33,2031.23,5.097
2020-08-06T08:12:00Z,long,2046.11,2040.74,5.362
2020-09-01T12:36:00Z,long,1988.64,1984.89,3.75
2020-09-16T14:12:00Z,long,1965.64,1961.22,4.427
2020-09-16T14:54:00Z,long,1964.56,1956.19,8.36
2020-09-22T14:42:00Z,short,1906.89,1916.42,9.53
2020-09-23T10:12:00Z,short,1886.69,1891.5,4.81
2020-09-23T11:48:00Z,short,1886.77,1892.66,5.893
2020-09-24T07:18:00Z,short,1855.51,1858.79,3.28
2020-09-24T08:12:00Z,short,1857.29,1861.47,4.183
2020-09-24T11:24:00Z,short,1855.72,1858.96,3.24
2020-10-12T07:06:00Z,long,1927.54,1924.79,2.75
2020-11-04T15:00:00Z,long,1902.51,1895.87,6.643
2020-11-04T16:54:00Z,long,1901.58,1898.05,3.53
2020-11-06T07:06:00Z,long,1941.99,1936.98,5.02
2020-11-09T08:06:00Z,long,1958.61,1953.04,5.57
2020-11-09T09:00:00Z,long,1959.61,1956.75,2.86
2020-11-09T10:12:00Z,long,1959.49,1957.84,1.65
2020-11-11T07:12:00Z,short,1878.69,1884.68,5.983
2020-11-11T10:12:00Z,short,1879.17,1882.13,2.96
2020-11-24T08:00:00Z,short,1827.41,1832.07,4.653
2020-11-30T09:00:00Z,short,1775.74,1780.41,4.67
2020-11-30T09:48:00Z,short,1774.62,1777.95,3.332
2020-11-30T14:36:00Z,short,1770.32,1777.22,6.9
2020-12-21T08:12:00Z,long,1897.79,1891.03,6.76
