time,lato,entry,stop,rischio,spread_ingresso,spread_mediano_60s,spread_max_60s,tick_trovato
2020-02-05 14:24:00+00:00,short,1554.56,1556.6,2.04,,,,0
2020-03-04 14:06:00+00:00,long,1641.64,1636.63,5.01,,,,0
2020-03-06 14:48:00+00:00,long,1681.66,1677.16,4.5,,,,0
2020-04-08 11:54:00+00:00,long,1648.85,1641.7,7.148,,,,0
2020-04-08 12:36:00+00:00,long,1648.8,1642.73,6.07,,,,0
2020-04-14 07:42:00+00:00,long,1716.15,1709.14,7.01,,,,0
2020-04-23 07:30:00+00:00,long,1714.22,1709.9,4.32,,,,0
2020-05-15 11:12:00+00:00,long,1735.21,1730.23,4.983,,,,0
2020-05-15 12:12:00+00:00,long,1734.87,1730.31,4.557,,,,0
2020-06-22 12:30:00+00:00,long,1751.72,1744.96,6.767,,,,0
2020-06-29 13:30:00+00:00,long,1771.2,1767.41,3.797,,,,0
2020-06-29 14:42:00+00:00,long,1771.55,1768.65,2.9,,,,0
2020-07-23 12:24:00+00:00,long,1877.67,1872.25,5.43,,,,0
2020-07-23 13:54:00+00:00,long,1878.34,1869.42,8.91,,,,0
2020-07-24 10:42:00+00:00,long,1890.36,1886.81,3.547,,,,0
2020-07-27 13:12:00+00:00,long,1936.16,1930.64,5.513,,,,0
2020-07-27 17:42:00+00:00,long,1935.81,1934.02,1.79,,,,0
2020-07-31 15:00:00+00:00,long,1972.8,1963.61,9.19,,,,0
2020-07-31 16:36:00+00:00,long,1970.59,1965.57,5.02,,,,0
2020-07-31 17:36:00+00:00,long,1971.14,1966.24,4.9,,,,0
2020-08-03 08:42:00+00:00,long,1974.12,1971.34,2.783,,,,0
2020-08-03 09:30:00+00:00,long,1974.03,1972.06,1.97,,,,0
2020-08-05 17:12:00+00:00,long,2036.62,2028.31,8.31,,,,0
2020-08-05 17:42:00+00:00,long,2036.33,2031.23,5.097,,,,0
2020-08-06 08:12:00+00:00,long,2046.11,2040.74,5.362,,,,0
2020-09-01 12:36:00+00:00,long,1988.64,1984.89,3.75,,,,0
2020-09-16 14:12:00+00:00,long,1965.64,1961.22,4.427,,,,0
2020-09-16 14:54:00+00:00,long,1964.56,1956.19,8.36,,,,0
2020-09-22 14:42:00+00:00,short,1906.89,1916.42,9.53,,,,0
2020-09-23 10:12:00+00:00,short,1886.69,1891.5,4.81,,,,0
2020-09-23 11:48:00+00:00,short,1886.77,1892.66,5.893,,,,0
2020-09-24 07:18:00+00:00,short,1855.51,1858.79,3.28,,,,0
2020-09-24 08:12:00+00:00,short,1857.29,1861.47,4.183,,,,0
2020-09-24 11:24:00+00:00,short,1855.72,1858.96,3.24,,,,0
2020-10-12 07:06:00+00:00,long,1927.54,1924.79,2.75,,,,0
2020-11-04 15:00:00+00:00,long,1902.51,1895.87,6.643,,,,0
2020-11-04 16:54:00+00:00,long,1901.58,1898.05,3.53,,,,0
2020-11-06 07:06:00+00:00,long,1941.99,1936.98,5.02,,,,0
2020-11-09 08:06:00+00:00,long,1958.61,1953.04,5.57,,,,0
2020-11-09 09:00:00+00:00,long,1959.61,1956.75,2.86,,,,0
2020-11-09 10:12:00+00:00,long,1959.49,1957.84,1.65,,,,0
2020-11-11 07:12:00+00:00,short,1878.69,1884.68,5.983,,,,0
2020-11-11 10:12:00+00:00,short,1879.17,1882.13,2.96,,,,0
2020-11-24 08:00:00+00:00,short,1827.41,1832.07,4.653,,,,0
2020-11-30 09:00:00+00:00,short,1775.74,1780.41,4.67,,,,0
2020-11-30 09:48:00+00:00,short,1774.62,1777.95,3.332,,,,0
2020-11-30 14:36:00+00:00,short,1770.32,1777.22,6.9,,,,0
2020-12-21 08:12:00+00:00,long,1897.79,1891.03,6.76,,,,0
2021-01-05 15:24:00+00:00,long,1943.81,1938.64,5.167,,,,0
2021-01-13 14:30:00+00:00,short,1851.8,1861.39,9.597,,,,0
2021-01-13 17:24:00+00:00,short,1855.8,1858.67,2.877,,,,0
2021-01-14 09:30:00+00:00,short,1839.78,1845.12,5.35,,,,0
2021-01-21 08:48:00+00:00,long,1872.29,1868.17,4.117,,,,0
2021-01-21 09:48:00+00:00,long,1871.46,1869.04,2.427,,,,0
2021-01-21 10:48:00+00:00,long,1870.72,1866.75,3.977,,,,0
2021-02-12 11:24:00+00:00,short,1818.66,1821.44,2.773,,,,0
2021-02-12 12:06:00+00:00,short,1817.93,1819.85,1.91,,,,0
2021-02-12 13:12:00+00:00,short,1816.29,1819.35,3.057,,,,0
2021-02-17 13:12:00+00:00,short,1788.37,1793.59,5.22,,,,0
2021-02-19 10:06:00+00:00,short,1769.88,1774.88,4.99,,,,0
2021-02-19 11:48:00+00:00,short,1770.12,1772.95,2.84,,,,0
2021-03-03 16:42:00+00:00,short,1721.55,1725.33,3.78,,,,0
2021-04-21 11:12:00+00:00,long,1782.5,1778.84,3.663,,,,0
2021-04-23 08:54:00+00:00,long,1785.02,1782.63,2.38,,,,0
2021-04-23 09:24:00+00:00,long,1785.68,1783.58,2.11,,,,0
2021-05-06 11:18:00+00:00,long,1791.14,1787.88,3.267,,,,0
2021-05-07 12:24:00+00:00,long,1820.29,1816.89,3.39,,,,0
2021-05-19 18:24:00+00:00,long,1873.39,1865.24,8.16,,,,0
2021-05-20 07:36:00+00:00,long,1874.87,1870.18,4.687,,,,0
2021-05-21 14:24:00+00:00,long,1877.62,1873.33,4.287,,,,0
2021-05-26 09:36:00+00:00,long,1907.57,1903.26,4.313,,,,0
2021-05-26 12:06:00+00:00,long,1906.99,1904.27,2.727,,,,0
2021-05-26 13:36:00+00:00,long,1906.76,1901.65,5.11,,,,0
2021-06-30 11:36:00+00:00,short,1758.82,1761.41,2.59,,,,0
2021-06-30 12:24:00+00:00,short,1757.95,1761.66,3.71,,,,0
2021-08-06 12:24:00+00:00,short,1798.05,1801.6,3.55,,,,0
2021-08-12 17:06:00+00:00,short,1750.61,1752.75,2.14,,,,0
