kind,touches,success_rate,median_bounce,median_penetration,expectancy
round_50,2008,0.32619521912350596,4.055000000000064,4.418500000000108,-0.032121513944223246
round_100,1906,0.3237145855194124,4.522000000000048,5.126500000000078,-0.04328436516264422
pwl,975,0.2923076923076923,3.4480000000000928,3.400000000000091,-0.1846153846153844
asia_l,3425,0.2835036496350365,2.887000000000171,2.747000000000071,-0.22423357664233579
pwh,1283,0.2813717848791894,2.8200000000001637,2.7600000000002183,-0.23382696804364755
swing_l,5419,0.28123269976010334,3.0100000000002183,3.0670000000000073,-0.23445285107953495
asia_h,3876,0.2773477812177503,2.75,2.644999999999982,-0.25193498452012375
pdl,2405,0.26652806652806654,2.730000000000018,2.9600000000000364,-0.3006237006237007
swing_h,5499,0.25604655391889436,2.6399999999998727,2.79300000000012,-0.3477905073649754
pdh,2890,0.25017301038062284,2.589999999999918,2.831500000000119,-0.37422145328719725
pdc,7828,0.2420797138477261,2.1914999999999054,2.2100000000000364,-0.41064128768523256
